GameID,HoursPlayedRank 的平均
730,1.00
570,2.00
2923300,3.00
578080,4.00
1203220,6.22
2139460,6.48
1245620,7.17
1172470,7.65
271590,8.43
252490,10.43
2074920,12.48
431960,12.52
413150,13.43
440,14.39
238960,15.61
1086940,15.74
1938090,16.39
251570,17.96
236390,19.13
1782210,20.52
359550,21.17
1085660,23.35
2195250,23.35
289070,24.09
2252570,24.48
230410,24.87
381210,27.04
394360,29.13
221100,30.48
39210,30.57
1623730,30.65
1222670,32.17
2357570,33.22
1281930,34.87
1174180,36.30
438100,37.17
105600,37.48
322330,39.78
436150,39.96
227300,40.35
582010,40.87
2977660,42.52
553850,46.22
304930,46.43
346110,46.52
1366800,48.09
550,48.52
3047030,49.35
108600,49.70
275850,50.22
1091500,51.22
4000,51.48
1248130,54.13
294100,55.17
2016590,55.74
377160,56.78
1599340,58.30
1142710,59.04
892970,60.87
489830,61.78
261550,62.22
1449850,64.17
218620,65.13
2448970,65.17
252950,66.61
739630,68.70
1238810,68.74
1623660,69.26
292030,70.43
2358720,71.00
1158310,73.30
960090,74.74
250900,74.83
813780,74.87
1364780,75.04
582660,75.96
594650,77.67
8930,78.96
1818450,79.61
513710,80.26
322170,81.91
236850,83.30
1966720,84.22
629520,85.30
2399830,86.00
284160,87.17
646570,87.22
548430,88.43
2567870,88.61
2338770,90.26
1293830,91.61
2073850,92.43
427520,92.87
1454400,93.09
281990,96.04
393380,97.78
232090,97.83
306130,100.17
107410,100.39
1551360,101.52
