GameID,MostPlayedRank 的平均
2358720,1.13
730,1.30
570,2.87
578080,2.87
2923300,4.30
1203220,5.39
1172470,6.30
271590,7.39
2139460,8.30
252490,10.09
431960,10.61
238960,12.13
413150,12.70
1245620,13.17
1086940,14.26
236390,15.35
1938090,16.13
251570,17.35
440,19.09
2252570,19.96
2074920,21.65
289070,21.65
2195250,22.22
359550,22.22
230410,25.09
582010,26.26
1782210,26.35
381210,27.87
394360,28.43
221100,29.00
2357570,30.43
322330,32.74
1085660,36.57
1222670,36.83
436150,37.39
1281930,39.22
39210,40.48
438100,40.91
227300,41.00
1623730,41.83
1248130,42.52
3047030,43.57
346110,45.13
105600,45.87
1174180,46.09
553850,46.91
1366800,47.52
1238810,47.96
2709570,48.67
1091500,48.91
4000,50.74
550,54.00
304930,55.96
108600,57.43
2977660,59.65
252950,60.26
489830,60.65
1449850,61.17
892970,62.61
739630,62.78
261550,63.52
377160,63.87
1142710,64.04
294100,64.04
1599340,64.96
1818450,66.04
1364780,66.22
292030,71.13
1158310,73.70
2016590,73.74
2344520,74.09
275850,74.39
1966720,75.00
513710,75.00
218620,77.39
250900,78.22
813780,80.09
2448970,80.43
1568590,80.91
1049590,81.61
548430,82.87
8930,83.96
960090,85.78
236850,86.09
629520,86.65
322170,86.87
2936120,87.00
284160,88.48
1238840,89.30
1623660,90.52
3016800,93.30
2338770,93.39
594650,94.00
646570,96.96
427520,97.65
766570,98.13
393380,98.35
1293830,99.87
582660,102.52
107410,103.30
