"ID","platform(new)"
1,TG16
2,FMT
3,PlayStation
4,ABC
5,Linux
6,GWAV
7,GP32
8,"5200"
9,C16
10,STRM
11,PICO
12,FIRE
13,AMIC
14,INTV
15,GB
16,"3DO"
17,MBEE
18,GIZ
19,PlayStation Portable
20,PDIA
21,CDI
22,BROW
23,MTX
24,Nintendo 3DS
25,HALC
26,HS1
27,Nintendo Wii
28,DM
29,SCV
30,GBA
31,RX78
32,DVD
33,SCD
34,VC4K
35,SAT
36,WSC
37,C64
38,XAVX
39,RZON
40,TVB
41,FM7
42,PC98
43,DC
44,BS-X
45,PCW
46,VC20
47,APL2
48,ZOD
49,SPEC
50,LEXP
51,TUT
52,RCA2
53,SMC7
54,EPOC
55,ORIC
56,SMAK
57,Android
58,CHNF
59,TI99
60,DIDJ
61,BNA
62,NGP
63,AMAX
64,DUCK
65,MVIS
66,NEO
67,N64
68,TGCD
69,CPC
70,M5
71,PCFX
72,HSCN
73,CDTV
74,COCO
75,A2GS
76,APTV
77,GEN
78,NGPC
79,ACAN
80,LYNX
81,MP1K
82,TRS8
83,LACT
84,STAD
85,GK3
86,PIPN
87,OUYA
88,PMIN
89,VSML
90,ACRN
91,CVIS
92,C128
93,LOOP
94,VBOY
95,DGBL
96,ML1
97,NGCD
98,AMI
99,Windows
100,AVCS
101,WSW
102,PLDT
103,PV2K
104,MQST
105,GK1
106,BBCM
107,NES
108,SVIS
109,Xbox
110,CASV
111,ODY2
112,FDS
113,X68K
114,A2K1
115,AVIS
116,MAC
117,MSX
118,PC88
119,GCN
120,NGE
121,PIN
122,NUON
123,LUNA
124,ESAG
125,EVER
126,IOS
127,SNES
128,"32X"
129,DRAG
130,CD32
131,GBC
132,ALXA
133,"2600"
134,VECT
135,HGM
136,A800
137,Nintendo Switch
138,JAG
139,ODYS
140,ARC
141,GMT
142,ADAM
143,MC
144,VMIV
145,GG
146,COUP
147,ZBO
148,BAST
149,SMS
150,AST
151,VIS
152,"64DD"
153,VSOC
154,SGFX
155,SG1K
156,AQUA
157,WP
158,WSHP
159,IPOD
160,"7800"
161,LEAP
162,TF1
163,GCOM
164,MZ
165,LPAD
166,CBM
167,VTCV
168,"6001"
169,MM8
170,PLTO
171,JCD
172,PV1K
