Super Mario Odyssey,Nintendo Switch,,,,,,,,,,
Baldur's Gate III,['Windows', 'Macintosh', 'Stadia', 'PlayStation 5', 'Xbox Series'],,,,,,
The Legend of Zelda: Breath of the Wild,['Wii U', 'Nintendo Switch'],,,,,,,,,
Persona 5: Royal,PlayStation 4,,,,,,,,,,
Elden Ring,['Windows', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Xbox Series'],,,,,,
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,,,,,,,,,,
Metroid Prime: Remastered,Nintendo Switch,,,,,,,,,,
God of War: Ragnarök,['PlayStation 4', 'PlayStation 5'],,,,,,,,,
Super Mario Galaxy,['Wii', 'Wii U', 'Android'],,,,,,,,
Uncharted 4: A Thief's End,PlayStation 4,,,,,,,,,,
Resident Evil 4,['Windows', 'PlayStation 4', 'PlayStation 5', 'Xbox Series', 'Macintosh', 'iPhone', 'iPad'],,,,
Super Mario Galaxy 2,['Wii', 'Wii U'],,,,,,,,,
The Legend of Zelda: Ocarina of Time 3D,Nintendo 3DS,,,,,,,,,,
Hades,['Windows', 'Macintosh', 'Nintendo Switch', 'Windows Apps', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Xbox Series', 'Xbox Cloud Gaming', 'iPhone', 'iPad']
Persona 5,['PlayStation 3', 'PlayStation 4'],,,,,,,,,
Uncharted 2: Among Thieves,['PlayStation 3', 'PlayStation 4'],,,,,,,,,
Portal 2,['Windows', 'Macintosh', 'Xbox 360', 'PlayStation 3', 'Linux'],,,,,,
Persona 5: Royal,['Windows', 'Windows Apps', 'Xbox One', 'Nintendo Switch', 'PlayStation 5', 'Xbox Series'],,,,,
Resident Evil 4,GameCube,,,,,,,,,,
Bayonetta 2,['Wii U', 'Nintendo Switch'],,,,,,,,,
Mass Effect 2,PlayStation 3,,,,,,,,,,
Super Mario 3D World,Wii U,,,,,,,,,,
Persona 4 Golden,['PS Vita', 'Windows', 'Windows Apps', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'Xbox Series'],,,,
Balatro,['Windows', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'PlayStation 5', 'Xbox Series', 'Macintosh'],,,,
Red Dead Redemption II,['PlayStation 4', 'Xbox One', 'Windows', 'Stadia', 'PlayStation Now'],,,,,,
Mario Kart 8 Deluxe,Nintendo Switch,,,,,,,,,,
Like a Dragon: Infinite Wealth,['Windows', 'Windows Apps', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Xbox Series'],,,,,
Xenoblade Chronicles,['Wii', 'New Nintendo 3DS', 'Wii U'],,,,,,,,
?kami,['PlayStation 2', 'Wii', 'PlayStation 3', 'Windows', 'PlayStation 4', 'Xbox One', 'Nintendo Switch'],,,,
The Witcher 3: Wild Hunt,['Windows', 'PlayStation 4', 'Xbox One'],,,,,,,,
God of War,['PlayStation 4', 'PlayStation Now', 'Windows'],,,,,,,,
Street Fighter 6,['Windows', 'PlayStation 4', 'PlayStation 5', 'Xbox Series'],,,,,,,
Batman: Arkham City,['Xbox 360', 'PlayStation 3', 'Windows', 'OnLive'],,,,,,,
The Orange Box,['Windows', 'Xbox 360', 'PlayStation 3'],,,,,,,,
Super Mario Bros. Wonder,Nintendo Switch,,,,,,,,,,
Hollow Knight,['Windows', 'Linux', 'Macintosh', 'Nintendo Switch'],,,,,,,
Red Dead Redemption,['Xbox 360', 'PlayStation 3'],,,,,,,,,
Final Fantasy VII: Remake,PlayStation 4,,,,,,,,,,
Resident Evil 2,['Windows', 'PlayStation 4', 'Xbox One', 'PlayStation 5'],,,,,,,
Final Fantasy VII: Rebirth,PlayStation 5,,,,,,,,,,
Tetris Effect,['PlayStation 4', 'Windows', 'Quest', 'Windows Apps', 'Xbox One', 'Xbox Series', 'Nintendo Switch', 'PlayStation 5'],,,
God of War II,['PlayStation 2', 'PlayStation 3'],,,,,,,,,
Company of Heroes,['Windows', 'iPad', 'iPhone', 'Android'],,,,,,,
God of War: Chains of Olympus,['PSP', 'PlayStation 3'],,,,,,,,,
Forza Motorsport,Xbox,,,,,,,,,,
Ninja Gaiden Black,['Xbox', 'Xbox 360'],,,,,,,,,
The Last of Us,['PlayStation 3', 'PlayStation Now'],,,,,,,,,
Gears of War 2,['Xbox 360', 'Xbox One', 'Xbox Cloud Gaming'],,,,,,,,
Super Smash Bros. Ultimate,Nintendo Switch,,,,,,,,,,
Tekken 8,['Windows', 'PlayStation 5', 'Xbox Series'],,,,,,,,
Guild Wars 2,['Windows', 'Macintosh'],,,,,,,,,
Bloodborne,['PlayStation 4', 'PlayStation Now'],,,,,,,,,
The Legend of Zelda: Twilight Princess,['Wii', 'GameCube', 'Wii U', 'Android'],,,,,,,
Journey,['PlayStation 3', 'PlayStation 4', 'Windows', 'iPhone', 'iPad'],,,,,,
