暢銷排名,遊戲名稱,價格
1,NARAKA: BLADEPOINT,Free To Play
2,The First Descendant,Free To Play
3,Once Human,Free To Play
4,PUBG: BATTLEGROUNDS,Free To Play
5,流亡黯道,Free To Play
6,Counter-Strike 2,Free To Play
7,ヘブンバーンズレッド,Free To Play
8,Apex Legends™,Free To Play
9,Snowbreak: Containment Zone,Free To Play
10,Minds Beneath Us,NT$ 385.00
11,Sekiro™: Shadows Die Twice - GOTY Edition,NT$ 795.00
12,Xuan-Yuan Sword Bunble,NT$ 632.00
13,Hero's Land,Free To Play
14,Legend of Mortal,NT$ 369.00
15,ELDEN RING,"NT$ 1,790.00"
16,Grand Theft Auto V: Premium Edition & Great White Shark Card Bundle,NT$ 662.00
17,Conqueror's Blade,Free To Play
18,Warframe,Free To Play
19,JIANGHU CHRONICLES,NT$ 278.00
20,RiichiCity - ACG mahjong games,Free To Play
21,Lost Castle 2,NT$ 220.00
22,Grand Theft Auto V,NT$ 662.00
23,ASTRA: Knights of Veda,Free To Play
24,Black Myth: Wukong,"NT$ 1,280.00"
25,Eternal Return,Free To Play
26,Summer Clover(hidden by your preferences),NT$ 329.00
27,"OPPAI Succubus Academy Sucky and Busty, Demonic and Lusty!(hidden by your preferences)",NT$ 599.00
28,Grand Theft Auto V: Premium Edition,NT$ 974.00
29,Dead by Daylight,NT$ 151.00
30,雀魂麻將(MahjongSoul),Free To Play
31,Chained Together,NT$ 91.00
32,PERFECT CELLS PROJECT(hidden by your preferences),NT$ 169.00
33,World of Warships,Free To Play
34,Summoners War,Free To Play
35,ELDEN RING Shadow of the Erdtree,"NT$ 1,190.00"
36,Xuan-Yuan Sword: Mists Beyond the Mountains,NT$ 179.00
37,Ghost of Tsushima DIRECTOR'S CUT,"NT$ 1,490.00"
38,Enshrouded,NT$ 399.00
39,Baldur's Gate 3,"NT$ 1,599.00"
40,Kingdom Rush 5: Alliance TD,NT$ 295.00
41,7 Days to Die,NT$ 670.00
42,Cataclismo,NT$ 559.00
43,Overcooked! 2,NT$ 211.00
44,hololive Treasure Mountain,NT$ 172.00
45,ROMANCE OF THE THREE KINGDOMS XIV: Diplomacy and Strategy Expansion Pack Bundle,"NT$ 1,194.00"
46,Street Fighter™ 6,"NT$ 1,680.00"
47,Dead Island 2,NT$ 877.00
48,Rust,NT$ 694.00
49,MOBILE SUIT GUNDAM BATTLE OPERATION 2,Free To Play
50,Dark and Darker,Free To Play
51,Black Desert,NT$ 200.00
52,Palworld,NT$ 488.00
53,Overwatch® 2,Free To Play
54,Euro Truck Simulator 2,NT$ 428.00
55,ROMANCE OF THE THREE KINGDOMS XIV,"NT$ 1,074.00"
56,REMNANT II®,NT$ 660.00
57,Inari(hidden by your preferences),NT$ 214.00
58,GrandChase,Free To Play
59,Wings of Seduction: Bust 'em out!(hidden by your preferences),NT$ 202.00
60,Diablo® IV,"NT$ 1,575.00"
61,Cities: Skylines II,"NT$ 1,398.00"
62,War Thunder,Free To Play
63,Astral Party ,Free To Play
64,Torchlight: Infinite,Free To Play
65,GUNDAM BREAKER 4,"NT$ 1,790.00"
66,Chinese Online Game,NT$ 188.00
67,Marvel's Guardians of the Galaxy,NT$ 298.00
68,Romance of the Three Kingdoms XIII Fame and Strategy Expansion Pack Bundle,NT$ 872.00
69,Total War: ROME II - Ultimate Edition,"NT$ 2,739.00"
70,Stray,NT$ 323.00
71,Age of Empires II: Definitive Edition,NT$ 679.00
72,Conan Exiles - Complete Edition,"NT$ 1,969.00"
73,Lust Goddess(hidden by your preferences),Free To Play
74,Resident Evil 4,NT$ 937.00
75,Raft,NT$ 468.00
76,Valkyria Chronicles Bundle,"NT$ 1,672.00"
77,吞食天地2：誕生Reborn,Free To Play
78,Yu-Gi-Oh! Master Duel,Free To Play
79,Nine Sols,NT$ 650.00
80,Black Squad,Free To Play
81,Romance of the Three Kingdoms Archives Vol.4,NT$ 768.00
82,Wallpaper Engine,NT$ 120.00
83,Call of Duty®: Warzone™,Free To Play
84,Manor Lords,NT$ 749.00
85,Sun Haven,NT$ 189.00
86,Apprehending the Adventurer Chan! ~Live2D Tentacles Simulator~(hidden by your preferences),NT$ 168.00
87,Deep Rock Galactic,NT$ 144.00
88,Call of Duty®,NT$ 144.00
89,Rise of Eros(hidden by your preferences),Free To Play
90,Romance of the Three Kingdoms XI with Power Up Kit,NT$ 469.00
91,WARRIORS OROCHI 4,"NT$ 1,194.00"
92,Astral Ascent,NT$ 245.00
93,Song Of The Prairie,NT$ 229.00
94,Russian Fishing 4,Free To Play
95,Age of Empires 25th Anniversary Collection,"NT$ 3,854.00"
96,Xuan-Yuan Sword: The Scar of Sky,NT$ 124.00
97,Forza Horizon 5,"NT$ 1,688.00"
98,Saki and the Crucible of Debauchery(hidden by your preferences),NT$ 168.00
99,Resident Evil 7 Gold Edition & Village Gold Edition,NT$ 910.00
100,Jurassic World Evolution 2: Dominion Bundle,"NT$ 1,907.00"
